imdbID,CurrencyBudget,CurrencyGross,Language
tt16085592,USD,,English
tt2201261,,,English
tt8851148,,,English
tt14158554,,,English
tt1464335,USD,USD,English
tt11252248,USD,USD,English
tt9907782,,USD,English
tt12889404,,USD,English
tt15374070,,USD,English
tt14813966,,,English
tt7550014,,,English
tt14174168,,USD,English
tt1877830,USD,USD,English
tt8633464,,USD,English
tt13403046,,,English
tt14412366,,USD,English
tt2463208,USD,,English
tt8097030,USD,USD,English
tt3580748,,USD,English
tt11278476,,,English
tt14114802,,USD,English
tt2180339,USD,,English
tt15033192,,,English
tt13560574,USD,USD,English
tt10579952,INR,USD,Tamil
tt9075388,,,English
tt13320622,USD,USD,English
tt6710474,USD,USD,English
tt14060232,,USD,English
tt12585076,,,English
tt5108870,USD,USD,English
tt13610562,,,English
tt10323676,USD,USD,English
tt14696284,,,English
tt12412888,USD,USD,English
tt4998632,USD,USD,English
tt3706352,,,English
tt12141112,,,English
tt14439896,USD,USD,English
tt4123432,USD,USD,English
tt9005184,EUR,USD,English
tt18394428,,USD,English
tt8115900,USD,USD,English
tt11138512,USD,USD,Ukrainian
tt11291274,USD,USD,English
tt9242528,,USD,English
tt11827628,USD,USD,English
tt15096128,,,English
tt15391770,,USD,English
tt9419884,USD,USD,English
tt14506528,,,English
tt1879016,,USD,English
tt5315212,,,English
tt10160886,,,English
tt11535358,,USD,English
tt13656980,,USD,English
tt11703710,USD,USD,English
tt3513500,USD,USD,English
tt15331186,,USD,English
tt4081630,,,English
tt13650600,,,English
tt1745960,USD,USD,English
tt7466442,USD,USD,English
tt12359080,,,English
tt14324296,,USD,Italian
tt14109994,,,English
tt14549466,USD,USD,English
tt6852178,,USD,English
tt14174940,USD,,English
tt15218000,,,English
tt12004038,,USD,English
tt8009428,,,English
tt8041270,USD,USD,English
tt10298810,USD,USD,English
tt9783600,,,English
tt14376344,,,English
tt6821198,,,English
tt3704428,USD,USD,English
tt7144666,USD,USD,English
tt11671006,USD,,English
tt9288046,,,English
tt15339456,,USD,English
tt11242162,,,English
tt3696180,,USD,English
tt12545566,,USD,English
tt13406136,,USD,English
tt15690300,,USD,English
tt10648342,USD,USD,English
tt1649418,USD,USD,English
tt9411972,USD,USD,English
tt4428398,,USD,English
tt13456318,,,English
tt15426294,,USD,English
tt13487922,,USD,English
tt15837458,,USD,English
tt2597804,,,English
tt10954984,USD,USD,English
tt11464446,,,English
tt8912936,USD,USD,English
tt12262116,,,English
tt11976532,,USD,English
tt14158346,,,English
tt14814040,,,English
tt7469828,USD,USD,English
tt16491324,USD,,English
tt12593682,USD,USD,English
tt7214954,,,English
tt11952606,,USD,English
tt8110652,,USD,English
tt14502344,,,English
tt14001894,,,English
tt13314558,USD,,English
tt15325794,USD,USD,English
tt15255876,USD,USD,English
tt11301946,INR,USD,Tamil
tt11851548,USD,USD,English
tt14596320,,,English
tt11513710,,,English
tt9198364,USD,USD,English
tt5500218,USD,,English
tt14309446,USD,,English
tt12311620,,USD,English
tt12655436,,USD,English
tt16527290,,,English
tt13070038,,USD,English
tt15791034,USD,USD,English
tt20864704,,USD,English
tt21293078,,,English
tt11128440,USD,USD,English
tt8093700,USD,USD,English
tt13640696,USD,USD,English
tt1655389,USD,,English
tt18925334,,USD,English
tt13327038,USD,,English
tt11052678,,USD,English
