Title,Type,Release,Runtime,Genre,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Budget,Gross,Platform,CurrencyBudget,CurrencyGross,Language
BlacKkKlansman,Movie,2018-08-10,8100.0,Biography,5.0,83.0,7.5,272219,tt7349662,15000000.0,93413709.0,others,USD,USD,English
Slender Man,Movie,2018-08-10,5580.0,Horror,,30.0,3.2,35694,tt5690360,10000000.0,51738549.0,others,USD,USD,English
A Prayer Before Dawn,Movie,2018-08-10,6960.0,Action,,76.0,6.8,24699,tt4080956,,958883.0,others,,USD,English
Crazy Rich Asians,Movie,2018-08-15,7200.0,Comedy,,74.0,6.9,178862,tt3104988,30000000.0,238843729.0,others,USD,USD,English
Alpha,Movie,2018-08-17,5760.0,Action,,63.0,6.6,64122,tt4244998,51000000.0,99630675.0,others,USD,USD,English
Mile 22,Movie,2018-08-17,5640.0,Action,,38.0,6.1,82593,tt4560436,50000000.0,66308758.0,others,USD,USD,English
The Wife,Movie,2018-09-28,5940.0,Drama,1.0,77.0,7.2,41077,tt3750872,,19978189.0,others,,USD,English
Billionaire Boys Club,Movie,2018-07-17,6480.0,Biography,,30.0,5.6,13869,tt5179598,15000000.0,2712606.0,others,USD,USD,English
"Juliet, Naked",Movie,2018-08-17,5820.0,Comedy,,67.0,6.6,23535,tt5607096,,4511157.0,others,,USD,English
Down a Dark Hall,Movie,2018-08-17,5760.0,Drama,,56.0,5.0,14471,tt2372251,,2707199.0,others,,USD,English
The Happytime Murders,Movie,2018-08-24,5460.0,Action,,27.0,5.4,29232,tt1308728,40000000.0,27506452.0,others,USD,USD,English
Searching,Movie,2018-08-31,6120.0,Drama,,71.0,7.6,170139,tt7668870,880000.0,75462037.0,others,USD,USD,English
Operation Finale,Movie,2018-08-29,7320.0,Biography,,58.0,6.6,44856,tt5208252,24000000.0,17612099.0,others,USD,USD,English
Kin,Movie,2018-08-31,6120.0,Action,,35.0,5.8,17803,tt6017942,30000000.0,10313019.0,others,USD,USD,English
The Little Stranger,Movie,2018-09-21,6660.0,Drama,,67.0,5.5,10291,tt6859762,,1824902.0,others,,USD,English
The Nun,Movie,2018-09-07,5760.0,Horror,,46.0,5.3,146507,tt5814060,22000000.0,365582797.0,others,USD,USD,English
Peppermint,Movie,2018-09-07,6060.0,Action,,29.0,6.5,67012,tt6850820,25000000.0,53918723.0,others,USD,USD,English
The Predator,Movie,2018-09-14,6420.0,Action,,48.0,5.3,136994,tt3829266,88000000.0,160542134.0,others,USD,USD,English
White Boy Rick,Movie,2018-09-14,6660.0,Crime,,59.0,6.5,39605,tt4537896,29000000.0,25957482.0,others,USD,USD,English
A Simple Favor,Movie,2018-09-14,7020.0,Comedy,,67.0,6.8,153724,tt7040874,20000000.0,97644617.0,others,USD,USD,English
The Children Act,Movie,2018-09-14,6300.0,Drama,,62.0,6.7,14075,tt6040662,,17696794.0,others,,USD,English
Lizzie,Movie,2018-09-14,6300.0,Biography,,59.0,5.9,8572,tt5160938,,844786.0,others,,USD,English
Unbroken: Path to Redemption,Movie,2018-09-14,5880.0,Biography,,39.0,5.8,3311,tt7339792,6000000.0,6216897.0,others,USD,USD,English
The House with a Clock in Its Walls,Movie,2018-09-21,6300.0,Comedy,,57.0,6.0,53225,tt2119543,42000000.0,131523093.0,others,USD,USD,English
Life Itself,Movie,2018-09-21,7020.0,Drama,,21.0,6.9,23084,tt5989218,10000000.0,7997774.0,others,USD,USD,English
The Sisters Brothers,Movie,2018-10-19,7320.0,Drama,,78.0,6.9,67010,tt4971344,38000000.0,13143056.0,others,USD,USD,English
Assassination Nation,Movie,2018-09-21,6480.0,Action,,56.0,6.0,20562,tt6205872,7000000.0,2584988.0,others,USD,USD,English
Little Italy,Movie,2018-09-21,6120.0,Comedy,,28.0,5.7,16098,tt6957966,8000000.0,1362536.0,others,CAD,USD,English
Colette,Movie,2019-01-09,6660.0,Biography,,74.0,6.7,24897,tt5437928,,14273033.0,others,,USD,English
Fahrenheit 11/9,Movie,2018-09-21,7680.0,Documentary,,69.0,7.1,19873,tt8632862,5000000.0,6674168.0,others,USD,USD,English
My Son,Movie,2021-09-15,5700.0,Crime,,,6.0,13105,tt13234058,,962689.0,others,,USD,English
